Process: appBlock0 | Restart Count: 0 | Start Time: 2024-11-26 14:34:19 | Reason: Init.
Process: appBlock1 | Restart Count: 0 | Start Time: 2024-11-26 14:34:19 | Reason: Init.
Process: appBlock2 | Restart Count: 0 | Start Time: 2024-11-26 14:34:19 | Reason: Init.
Process: appBlock0 | Restart Count: 1 | Start Time: 2024-11-26 14:34:19 | Reason: EXIT(0)
Process: appBlock0 | Restart Count: 2 | Start Time: 2024-11-26 14:34:20 | Reason: EXIT(0)
Process: appBlock1 | Restart Count: 1 | Start Time: 2024-11-26 14:34:19 | Reason: EXIT(5)
Process: appBlock0 | Restart Count: 3 | Start Time: 2024-11-26 14:34:21 | Reason: EXIT(0)
Process: appBlock0 | Restart Count: 4 | Start Time: 2024-11-26 14:34:22 | Reason: EXIT(0)
Process: appBlock2 | Restart Count: 1 | Start Time: 2024-11-26 14:34:19 | Reason: SIGNAL(2).Interrupt: 2
Process: appBlock0 | Restart Count: 5 | Start Time: 2024-11-26 14:34:23 | Reason: EXIT(0)
Process: appBlock1 | Restart Count: 2 | Start Time: 2024-11-26 14:34:22 | Reason: EXIT(5)
Process: appBlock0 | Restart Count: 0 | Start Time: 2024-11-26 16:51:04 | Reason: Init.
Process: appBlock1 | Restart Count: 0 | Start Time: 2024-11-26 16:51:04 | Reason: Init.
Process: appBlock2 | Restart Count: 0 | Start Time: 2024-11-26 16:51:04 | Reason: Init.
Process: appBlock0 | Restart Count: 1 | Start Time: 2024-11-26 16:51:04 | Reason: EXIT(0)
